数据库：季度数据
时间：1990-
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度,2016年第一季度,2015年第四季度,2015年第三季度,2015年第二季度,2015年第一季度,2014年第四季度,2014年第三季度,2014年第二季度,2014年第一季度,2013年第四季度,2013年第三季度,2013年第二季度,2013年第一季度,2012年第四季度,2012年第三季度,2012年第二季度,2012年第一季度,2011年第四季度,2011年第三季度,2011年第二季度,2011年第一季度,2010年第四季度,2010年第三季度,2010年第二季度,2010年第一季度,2009年第四季度,2009年第三季度,2009年第二季度,2009年第一季度,2008年第四季度,2008年第三季度,2008年第二季度,2008年第一季度,2007年第四季度,2007年第三季度,2007年第二季度,2007年第一季度,2006年第四季度,2006年第三季度,2006年第二季度,2006年第一季度,2005年第四季度,2005年第三季度,2005年第二季度,2005年第一季度,2004年第四季度,2004年第三季度,2004年第二季度,2004年第一季度,2003年第四季度,2003年第三季度,2003年第二季度,2003年第一季度,2002年第四季度,2002年第三季度,2002年第二季度,2002年第一季度,2001年第四季度,2001年第三季度,2001年第二季度,2001年第一季度,2000年第四季度,2000年第三季度,2000年第二季度,2000年第一季度,1999年第四季度,1999年第三季度,1999年第二季度,1999年第一季度,1998年第四季度,1998年第三季度,1998年第二季度,1998年第一季度,1997年第四季度,1997年第三季度,1997年第二季度,1997年第一季度,1996年第四季度,1996年第三季度,1996年第二季度,1996年第一季度,1995年第四季度,1995年第三季度,1995年第二季度,1995年第一季度,1994年第四季度,1994年第三季度,1994年第二季度,1994年第一季度,1993年第四季度,1993年第三季度,1993年第二季度,1993年第一季度,1992年第四季度,1992年第三季度,1992年第二季度,1992年第一季度,1991年第四季度,1991年第三季度,1991年第二季度,1991年第一季度,1990年第四季度,1990年第三季度,1990年第二季度,1990年第一季度
国内生产总值当季值(亿元),249310.1,296297.8,264976.3,248985.1,205727.0,276798.0,251046.3,241502.6,217168.3,258808.9,234474.3,223962.2,202035.7,235428.7,212789.3,201950.3,181867.7,211566.2,191010.6,181408.2,162410.0,192572.9,176597.7,168549.7,151137.9,180828.9,165484.7,156489.6,140759.8,167772.3,152222.7,143518.7,129449.6,151812.0,138089.6,131320.6,117357.6,138012.1,126562.2,118895.9,104469.9,119306.8,105963.7,99347.4,87501.3,100825.8,89846.9,83865.8,73979.2,88699.0,82460.1,78711.8,69373.6,78669.3,69482.1,64781.6,57159.3,63621.6,56064.7,52673.3,47078.9,54024.8,48047.8,44793.1,40453.3,46739.8,41855.0,38700.8,34544.6,39767.4,35291.9,32537.3,29825.5,34970.3,31257.3,29194.8,26295.0,31716.8,28333.3,26726.6,24086.4,29194.3,25712.5,24043.4,21329.9,26583.9,23050.8,21567.7,19361.9,25074.2,21775.6,20296.6,18049.1,23361.5,20500.9,19163.6,16689.1,21432.4,18605.8,17147.5,14628.0,18451.2,16164.1,14612.9,12111.7,14913.3,12868.0,11481.0,9375.1,11095.9,9385.8,8357.0,6834.6,8254.8,7192.6,6484.3,5262.8,,,,,,,,
国内生产总值累计值(亿元),249310.1,1015986.2,719688.4,454712.1,205727.0,986515.2,709717.2,458670.9,217168.3,919281.1,660472.2,425997.9,202035.7,832035.9,596607.3,383818.0,181867.7,746395.1,534828.9,343818.2,162410.0,688858.2,496285.3,319687.6,151137.9,643563.1,462734.2,297249.5,140759.8,592963.2,425190.9,272968.2,129449.6,538580.0,386767.9,248678.3,117357.6,487940.2,349928.0,223365.8,104469.9,412119.3,292812.4,186848.7,87501.3,348517.7,247691.9,157845.0,73979.2,319244.6,230545.6,148085.5,69373.6,270092.3,191423.1,121940.9,57159.3,219438.5,155816.8,99752.2,47078.9,187318.9,133294.1,85246.4,40453.3,161840.2,115100.4,73245.4,34544.6,137422.0,97654.7,62362.8,29825.5,121717.4,86747.1,55489.8,26295.0,110863.1,79146.3,50813.0,24086.4,100280.1,71085.9,45373.3,21329.9,90564.4,63980.4,40929.6,19361.9,85195.5,60121.3,38345.7,18049.1,79715.0,56353.6,35852.7,16689.1,71813.6,50381.3,31775.5,14628.0,61339.9,42888.7,26724.6,12111.7,48637.5,33724.1,20856.1,9375.1,35673.2,24577.4,15191.6,6834.6,27194.5,18939.8,11747.1,5262.8,,,,,,,,
第一产业增加值当季值(亿元),11332.1,29630.2,22072.0,15866.8,10185.1,27464.4,19801.0,14439.9,8768.3,24938.7,18226.9,13003.8,8575.7,22992.9,18255.8,12644.9,8205.9,21728.2,17542.4,12555.9,8312.7,21376.1,17173.1,11852.2,7373.2,20522.1,16854.9,11109.4,7140.0,19864.3,15904.9,10389.7,6869.1,18071.3,14656.0,9911.4,6446.0,16189.7,13855.6,9143.3,5592.8,14185.4,11633.8,7785.6,4826.0,12355.9,9994.8,6868.3,4364.8,11440.1,9825.3,6831.2,4367.5,10338.4,8352.6,5510.1,3473.0,8616.6,6937.7,4750.0,3012.7,7956.4,6527.7,4438.6,2884.0,7679.7,6358.6,4250.5,2615.6,6254.4,5046.1,3447.2,2222.5,5925.6,4731.2,3385.8,2147.6,5798.4,4453.8,3235.0,2015.3,5510.2,4140.6,3158.2,1908.3,5458.8,4068.2,3143.7,1878.2,5526.3,4089.3,3147.6,1855.4,5348.0,4036.7,3127.6,1752.9,5285.0,3948.4,3006.6,1638.4,4627.1,3551.0,2498.6,1343.8,3768.8,2808.8,1913.6,980.5,2731.5,2010.2,1415.8,730.1,2184.0,1709.1,1257.9,649.3,,,,,,,,
第一产业增加值累计值(亿元),11332.1,77754.1,48123.9,26051.9,10185.1,70473.6,43009.1,23208.2,8768.3,64745.2,39806.4,21579.5,8575.7,62099.5,39106.6,20850.8,8205.9,60139.2,38411.0,20868.7,8312.7,57774.6,36398.5,19225.5,7373.2,55626.3,35104.3,18249.4,7140.0,53028.1,33163.7,17258.8,6869.1,49084.6,31013.4,16357.3,6446.0,44781.5,28591.7,14736.1,5592.8,38430.8,24245.4,12611.6,4826.0,33583.8,21227.9,11233.1,4364.8,32464.1,21024.0,11198.7,4367.5,27674.1,17335.7,8983.1,3473.0,23317.0,14700.4,7762.7,3012.7,21806.7,13850.3,7322.6,2884.0,20904.3,13224.7,6866.1,2615.6,16970.2,10715.9,5669.7,2222.5,16190.2,10264.7,5533.4,2147.6,15502.5,9704.1,5250.4,2015.3,14717.4,9207.2,5066.5,1908.3,14549.0,9090.1,5021.9,1878.2,14618.7,9092.4,5003.1,1855.4,14265.2,8917.3,4880.5,1752.9,13878.3,8593.4,4645.0,1638.4,12020.5,7393.4,3842.4,1343.8,9471.8,5703.0,2894.2,980.5,6887.6,4156.1,2145.9,730.1,5800.3,3616.3,1907.2,649.3,,,,,,,,
第二产业增加值当季值(亿元),92623.5,113939.9,100082.6,97699.4,72533.4,107730.1,96420.1,95923.7,80596.7,104023.9,93112.5,91100.6,76598.2,95368.0,84574.1,82323.0,69315.5,85504.1,75400.5,73416.5,61106.8,78356.3,71526.7,70950.0,60505.9,77725.9,70971.1,69458.3,59127.4,74211.4,66748.7,65130.3,55861.2,68633.5,62256.2,61433.2,52316.2,64334.6,58622.5,56884.0,47194.0,55933.6,48906.4,47422.3,39364.2,46928.2,41313.0,39378.6,32549.0,41196.4,38895.0,38248.4,31613.2,36861.1,32660.2,31126.2,25983.1,30429.8,26936.6,25574.7,21418.2,25723.9,22774.0,21425.3,18159.0,21535.5,19372.1,18085.4,15292.1,18031.6,16298.4,15219.6,13146.2,15460.6,14024.0,13299.8,11319.7,13915.4,12790.0,12312.6,10641.4,13102.0,11886.6,11127.2,9547.8,11780.4,10549.6,9982.7,8767.2,11138.0,10045.3,9459.7,8374.4,10569.0,9721.0,9207.9,8047.0,9598.9,8837.0,8219.9,7171.5,8152.5,7586.6,7036.2,5901.4,6453.6,5971.1,5459.1,4568.7,4825.1,4403.2,3938.2,3306.2,3384.0,3141.1,2799.1,2400.8,,,,,,,,
第二产业增加值累计值(亿元),92623.5,384255.3,270315.4,170232.8,72533.4,380670.6,272940.5,176520.4,80596.7,364835.2,260811.3,167698.8,76598.2,331580.5,236212.5,151638.4,69315.5,295427.8,209923.7,134523.3,61106.8,281338.9,202982.7,131455.9,60505.9,277282.8,199556.9,128585.8,59127.4,261951.6,187740.2,120991.5,55861.2,244639.1,176005.6,113749.4,52316.2,227035.1,162700.5,104077.9,47194.0,191626.5,135693.0,86786.5,39364.2,160168.8,113240.6,71927.6,32549.0,149952.9,108756.6,69861.6,31613.2,126630.5,89769.5,57109.3,25983.1,104359.2,73929.5,46992.9,21418.2,88082.2,62358.3,39584.3,18159.0,74285.0,52749.5,33377.4,15292.1,62695.8,44664.1,28365.8,13146.2,54104.1,38643.5,24619.5,11319.7,49659.4,35743.9,22954.0,10641.4,45663.7,32561.6,20675.0,9547.8,41079.9,29299.4,18749.8,8767.2,39017.5,27879.5,17834.2,8374.4,37545.0,26976.0,17255.0,8047.0,33827.3,24228.4,15391.4,7171.5,28676.7,20524.3,12937.6,5901.4,22452.5,15998.9,10027.8,4568.7,16472.7,11647.6,7244.3,3306.2,11725.0,8341.0,5199.9,2400.8,,,,,,,,
第三产业增加值当季值(亿元),145354.5,152727.6,142821.7,135418.9,123008.5,141603.5,134825.2,131139.0,127803.3,129846.2,123134.9,119857.8,116861.8,117067.8,109959.5,106982.4,104346.3,104334.0,98067.8,95435.8,92990.5,92840.6,87897.9,85747.4,83258.8,82580.9,77658.7,75921.9,74492.4,73696.6,69569.1,67998.6,66719.3,65107.2,61177.4,59976.1,58595.5,57487.8,54084.0,52868.6,51683.2,49187.8,45423.5,44139.5,43311.1,41541.7,38539.1,37618.9,37065.4,36062.5,33739.9,33632.3,33392.9,31469.8,28469.4,28145.3,27703.2,24575.3,22190.4,22348.5,22648.0,20344.5,18746.0,18929.2,19410.3,17524.6,16124.3,16364.9,16637.0,15481.4,13947.3,13870.6,14456.8,13584.2,12502.1,12509.2,12827.6,12003.0,11089.6,11179.0,11429.7,10582.0,9685.3,9758.0,9873.9,9344.7,8433.0,8441.3,8716.6,8409.8,7640.9,7689.2,7819.3,7444.5,6743.1,6828.0,6889.1,6548.5,5820.4,5921.0,5818.1,5671.6,5026.5,5078.1,4866.5,4690.9,4088.0,4108.2,3825.9,3539.2,2972.3,3003.0,2798.4,2686.8,2342.5,2427.3,2212.7,,,,,,,,
第三产业增加值累计值(亿元),145354.5,553976.8,401249.1,258427.4,123008.5,535371.0,393767.5,258942.3,127803.3,489700.8,359854.5,236719.7,116861.8,438355.9,321288.2,211328.7,104346.3,390828.1,286494.1,188426.3,92990.5,349744.7,256904.1,169006.2,83258.8,310654.0,228073.0,150414.3,74492.4,277983.5,204287.0,134717.9,66719.3,244856.2,179749.0,118571.6,58595.5,216123.6,158635.9,104551.8,51683.2,182061.9,132874.0,87450.6,43311.1,154765.1,113223.4,74684.3,37065.4,136827.5,100765.1,67025.2,33392.9,115787.7,84317.9,55848.5,27703.2,91762.2,67187.0,44996.5,22648.0,77430.0,57085.5,38339.5,19410.3,66650.9,49126.2,33001.9,16637.0,57756.0,42274.7,28327.3,14456.8,51423.1,37838.9,25336.8,12827.6,45701.2,33698.3,22608.7,11429.7,39899.1,29317.1,19631.8,9873.9,34935.5,25590.9,17157.9,8716.6,31559.3,23149.4,15508.5,7819.3,27904.8,20460.3,13717.2,6889.1,24108.0,17559.5,11739.1,5818.1,20642.7,14971.1,9944.6,4866.5,16713.1,12022.2,7934.2,3825.9,12313.0,8773.7,5801.4,2798.4,9669.2,6982.5,4640.0,2212.7,,,,,,,,
农林牧渔业增加值当季值(亿元),11887.6,30824.3,22974.9,16596.9,10707.8,28583.8,20632.8,15111.7,9248.7,25929.0,18961.8,13662.2,9005.8,23915.8,18944.2,13204.2,8595.8,22577.8,18162.2,13045.5,8665.5,22130.4,17739.2,12296.2,7686.8,21172.1,17371.0,11500.6,7428.5,20447.1,16367.0,10748.2,7130.2,18587.1,15070.2,10238.5,6685.4,16653.8,14219.6,9440.9,5808.3,14596.6,11957.0,8044.6,5020.8,12729.1,10281.5,7104.3,4544.7,11760.5,10084.2,7046.5,4536.9,10621.8,8572.0,5683.1,3606.9,8866.2,7129.6,4907.4,3133.1,8168.0,6690.4,4571.0,2986.8,7856.8,6494.9,4360.7,2698.4,6396.6,5154.5,3537.3,2292.1,6046.2,4820.1,3463.1,2206.3,5897.5,4524.0,3297.0,2061.6,5590.2,4196.1,3209.7,1947.5,5536.2,4122.2,3194.4,1915.8,5599.1,4136.9,3192.2,1888.2,5412.3,4079.8,3168.1,1780.6,5336.7,3983.0,3036.2,1658.8,4671.3,3581.1,2522.3,1360.4,3808.4,2835.2,1933.8,994.8,2761.4,2030.2,1431.0,740.9,2208.8,1726.8,1271.9,658.8,,,,,,,,
农林牧渔业增加值累计值(亿元),11887.6,81103.9,50279.6,27304.7,10707.8,73576.9,44993.2,24360.4,9248.7,67558.7,41629.8,22668.0,9005.8,64660.0,40744.2,21800.0,8595.8,62451.0,39873.2,21711.0,8665.5,59852.6,37722.2,19983.0,7686.8,57472.2,36300.1,18929.1,7428.5,54692.4,34245.4,17878.4,7130.2,50581.2,31994.1,16923.9,6685.4,46122.6,29468.8,15249.2,5808.3,39619.0,25022.4,13065.4,5020.8,34659.7,21930.6,11649.0,4544.7,33428.1,21667.6,11583.4,4536.9,28483.7,17862.0,9290.0,3606.9,24036.4,15170.2,8040.5,3133.1,22416.2,14248.3,7557.8,2986.8,21410.7,13554.0,7059.1,2698.4,17380.6,10984.0,5829.5,2292.1,16535.7,10489.5,5669.5,2206.3,15780.0,9882.5,5358.5,2061.6,14943.6,9353.4,5157.2,1947.5,14768.7,9232.5,5110.3,1915.8,14816.4,9217.3,5080.3,1888.2,14440.8,9028.5,4948.7,1780.6,14014.7,8678.0,4695.0,1658.8,12135.1,7463.8,3882.8,1360.4,9572.1,5763.7,2928.5,994.8,6963.3,4202.0,2171.8,740.9,5866.2,3657.4,1930.7,658.8,,,,,,,,
工业增加值当季值(亿元),80971.1,89843.2,80612.5,79048.1,63567.5,85279.9,78196.3,78490.1,69892.4,82822.1,76239.6,75122.1,66905.6,76782.9,69327.2,68099.8,60909.3,68998.4,61902.5,60839.2,53666.4,63176.9,58993.0,59327.9,53471.1,63201.5,58904.0,58432.3,52659.5,61057.5,55882.1,55266.2,50127.3,56803.4,52451.1,52495.9,47151.0,53588.5,49915.8,48964.6,42670.3,46901.5,41795.8,40837.7,35588.2,39495.8,35371.7,33842.3,29382.8,34818.1,34146.8,33719.7,29039.5,31563.3,28741.8,27482.4,23903.3,26160.5,23720.7,22619.9,19734.7,22194.0,20073.1,18925.0,16766.2,18696.0,17019.6,15965.7,14093.6,15531.9,14303.9,13398.5,12127.9,13242.3,12378.4,11716.1,10438.0,11847.5,11294.0,10874.8,9838.0,11157.7,10502.8,9799.6,8798.5,9921.8,9288.7,8749.4,8054.4,9300.2,8809.0,8310.5,7714.2,8900.6,8592.3,8114.1,7415.6,8012.0,7744.6,7180.7,6591.6,6792.2,6678.7,6157.5,5394.8,5351.2,5255.9,4767.9,4171.3,3959.5,3852.6,3418.3,3018.1,2817.3,2809.6,2487.9,2225.4,,,,,,,,
